review_id,movie_id,rating,review_date
1,184,8,2020-01-01
2,43,7,2020-01-01
3,100,3,2020-01-01
4,59,7,2020-01-01
5,117,8,2020-01-01
6,30,4,2020-01-01
7,46,10,2020-01-01
8,155,6,2020-01-01
9,176,2,2020-01-01
10,88,8,2020-01-01
11,194,7,2020-01-01
12,167,5,2020-01-01
13,76,8,2020-01-01
14,55,6,2020-01-01
15,8,7,2020-01-01
16,126,7,2020-01-01
17,141,8,2020-01-01
18,8,7,2020-01-01
19,35,6,2020-01-01
20,46,7,2020-01-01
21,180,6,2020-01-01
22,78,6,2020-01-01
23,77,7,2020-01-01
24,141,10,2020-01-01
25,108,5,2020-01-02
26,92,8,2020-01-02
27,121,7,2020-01-02
28,75,7,2020-01-02
29,93,8,2020-01-02
30,68,7,2020-01-02
31,41,5,2020-01-02
32,126,8,2020-01-02
33,161,6,2020-01-02
34,85,4,2020-01-02
35,184,8,2020-01-02
36,156,3,2020-01-02
37,135,9,2020-01-02
38,122,5,2020-01-02
39,166,4,2020-01-02
40,153,2,2020-01-02
41,167,3,2020-01-02
42,167,7,2020-01-02
43,109,7,2020-01-02
44,90,7,2020-01-02
45,71,2,2020-01-02
46,5,8,2020-01-02
47,144,9,2020-01-02
48,65,5,2020-01-02
49,137,8,2020-01-03
50,157,7,2020-01-03
51,57,8,2020-01-03
52,172,7,2020-01-03
53,45,2,2020-01-03
54,125,9,2020-01-03
55,13,6,2020-01-03
56,161,2,2020-01-03
57,170,8,2020-01-03
58,67,5,2020-01-03
59,40,3,2020-01-03
60,142,6,2020-01-03
61,69,7,2020-01-03
62,126,5,2020-01-03
63,148,9,2020-01-03
64,114,8,2020-01-03
65,1,4,2020-01-03
66,192,9,2020-01-03
67,121,3,2020-01-03
68,135,8,2020-01-03
69,50,9,2020-01-03
70,51,4,2020-01-03
71,109,7,2020-01-03
72,93,4,2020-01-03
73,172,7,2020-01-04
74,79,5,2020-01-04
75,88,6,2020-01-04
76,46,4,2020-01-04
77,186,9,2020-01-04
78,41,8,2020-01-04
79,99,6,2020-01-04
80,122,6,2020-01-04
81,103,9,2020-01-04
82,46,10,2020-01-04
83,31,6,2020-01-04
84,35,1,2020-01-04
85,32,7,2020-01-04
86,126,5,2020-01-04
87,194,7,2020-01-04
88,39,8,2020-01-04
89,37,8,2020-01-04
90,17,7,2020-01-04
91,179,5,2020-01-04
92,51,6,2020-01-04
93,63,10,2020-01-04
94,55,6,2020-01-04
95,182,4,2020-01-04
96,179,2,2020-01-04
97,57,2,2020-01-05
98,152,4,2020-01-05
99,175,7,2020-01-05
100,162,4,2020-01-05
101,76,1,2020-01-05
102,49,9,2020-01-05
103,56,9,2020-01-05
104,113,4,2020-01-05
105,69,7,2020-01-05
106,62,8,2020-01-05
107,171,8,2020-01-05
108,160,7,2020-01-05
109,22,8,2020-01-05
110,26,10,2020-01-05
111,164,2,2020-01-05
112,110,6,2020-01-05
113,192,6,2020-01-05
114,182,5,2020-01-05
115,154,4,2020-01-05
116,47,9,2020-01-05
117,114,6,2020-01-05
118,163,7,2020-01-05
119,101,5,2020-01-05
120,16,9,2020-01-05
121,115,9,2020-01-06
122,18,6,2020-01-06
123,70,8,2020-01-06
124,19,8,2020-01-06
125,34,7,2020-01-06
126,158,7,2020-01-06
127,24,6,2020-01-06
128,178,10,2020-01-06
129,52,10,2020-01-06
130,186,6,2020-01-06
131,14,7,2020-01-06
132,183,7,2020-01-06
133,89,5,2020-01-06
134,200,10,2020-01-06
135,142,4,2020-01-06
136,59,4,2020-01-06
137,3,7,2020-01-06
138,132,7,2020-01-06
139,44,7,2020-01-06
140,98,8,2020-01-06
141,1,7,2020-01-06
142,148,4,2020-01-06
143,138,8,2020-01-06
144,161,6,2020-01-06
145,188,7,2020-01-07
146,33,5,2020-01-07
147,184,9,2020-01-07
148,1,9,2020-01-07
149,25,3,2020-01-07
150,111,9,2020-01-07
151,89,8,2020-01-07
152,34,3,2020-01-07
153,125,9,2020-01-07
154,34,8,2020-01-07
155,167,9,2020-01-07
156,198,5,2020-01-07
157,189,7,2020-01-07
158,129,3,2020-01-07
159,57,9,2020-01-07
160,33,10,2020-01-07
161,136,7,2020-01-07
162,73,5,2020-01-07
163,102,5,2020-01-07
164,7,6,2020-01-07
165,159,6,2020-01-07
166,144,7,2020-01-07
167,11,9,2020-01-07
168,182,6,2020-01-07
169,8,5,2020-01-08
170,1,5,2020-01-08
171,98,5,2020-01-08
172,73,6,2020-01-08
173,14,8,2020-01-08
174,14,3,2020-01-08
175,171,5,2020-01-08
176,16,5,2020-01-08
177,154,4,2020-01-08
178,125,5,2020-01-08
179,50,5,2020-01-08
180,16,5,2020-01-08
181,76,6,2020-01-08
182,30,8,2020-01-08
183,107,8,2020-01-08
184,185,8,2020-01-08
185,69,3,2020-01-08
186,86,4,2020-01-08
187,23,7,2020-01-08
188,177,3,2020-01-08
189,27,5,2020-01-08
190,45,3,2020-01-08
191,137,8,2020-01-08
192,195,7,2020-01-08
193,100,8,2020-01-09
194,120,6,2020-01-09
195,122,8,2020-01-09
196,9,10,2020-01-09
197,162,5,2020-01-09
198,26,9,2020-01-09
199,97,8,2020-01-09
200,20,4,2020-01-09
201,96,8,2020-01-09
202,157,7,2020-01-09
203,88,4,2020-01-09
204,143,9,2020-01-09
205,164,4,2020-01-09
206,139,8,2020-01-09
207,80,9,2020-01-09
208,4,2,2020-01-09
209,132,8,2020-01-09
210,186,7,2020-01-09
211,42,9,2020-01-09
212,130,4,2020-01-09
213,113,9,2020-01-09
214,20,7,2020-01-09
215,97,8,2020-01-09
216,188,6,2020-01-09
217,59,2,2020-01-10
218,168,8,2020-01-10
219,27,9,2020-01-10
220,58,5,2020-01-10
221,181,7,2020-01-10
222,55,8,2020-01-10
223,45,6,2020-01-10
224,57,9,2020-01-10
225,36,7,2020-01-10
226,59,6,2020-01-10
227,68,9,2020-01-10
228,134,7,2020-01-10
229,109,7,2020-01-10
230,146,7,2020-01-10
231,81,9,2020-01-10
232,111,8,2020-01-10
233,153,5,2020-01-10
234,163,6,2020-01-10
235,141,8,2020-01-10
236,4,5,2020-01-10
237,29,5,2020-01-10
238,86,5,2020-01-10
239,64,5,2020-01-10
240,36,6,2020-01-10
241,115,7,2020-01-11
242,187,7,2020-01-11
243,65,8,2020-01-11
244,120,9,2020-01-11
245,28,5,2020-01-11
246,145,3,2020-01-11
247,27,7,2020-01-11
248,153,7,2020-01-11
249,174,7,2020-01-11
250,155,8,2020-01-11
251,51,7,2020-01-11
252,35,6,2020-01-11
253,32,2,2020-01-11
254,189,8,2020-01-11
255,141,7,2020-01-11
256,119,10,2020-01-11
257,111,10,2020-01-11
258,50,4,2020-01-11
259,46,4,2020-01-11
260,157,6,2020-01-11
261,184,7,2020-01-11
262,10,6,2020-01-11
263,196,6,2020-01-11
264,53,7,2020-01-11
265,52,9,2020-01-12
266,97,5,2020-01-12
267,30,4,2020-01-12
268,36,8,2020-01-12
269,117,8,2020-01-12
270,155,7,2020-01-12
271,189,7,2020-01-12
272,35,7,2020-01-12
273,23,8,2020-01-12
274,176,9,2020-01-12
275,167,9,2020-01-12
276,38,3,2020-01-12
277,86,10,2020-01-12
278,17,6,2020-01-12
279,5,6,2020-01-12
280,162,9,2020-01-12
281,113,3,2020-01-12
282,186,6,2020-01-12
283,22,3,2020-01-12
284,159,5,2020-01-12
285,151,7,2020-01-12
286,31,8,2020-01-12
287,58,10,2020-01-12
288,145,7,2020-01-12
289,71,7,2020-01-13
290,135,3,2020-01-13
291,87,3,2020-01-13
292,130,2,2020-01-13
293,80,6,2020-01-13
294,168,4,2020-01-13
295,12,3,2020-01-13
296,68,4,2020-01-13
297,92,6,2020-01-13
298,46,5,2020-01-13
299,75,4,2020-01-13
300,109,1,2020-01-13
301,182,3,2020-01-13
302,24,8,2020-01-13
